V1,V2,V3
Q2.1,role_primary,"{""ImportId"":""QID2""}"
Q2.2,role_student_employee,"{""ImportId"":""QID8""}"
Q2.3,role_office_location,"{""ImportId"":""QID9""}"
Q3.1,bg_license,"{""ImportId"":""QID15""}"
Q3.2_1,bg_limit - Walking,"{""ImportId"":""QID13_1""}"
Q3.2_2,bg_limit - Bicycling,"{""ImportId"":""QID13_2""}"
Q3.2_3,bg_limit - Driving,"{""ImportId"":""QID13_3""}"
Q3.2_4,bg_limit - Using public transit,"{""ImportId"":""QID13_4""}"
Q3.3,bg_gender,"{""ImportId"":""QID12""}"
Q3.4_1,bg_available_modes - Selected Choice - Walk (or wheelchair),"{""ImportId"":""QID16"",""choiceId"":""1""}"
Q3.4_23,bg_available_modes - Selected Choice - Electric-assist bike (e-bike),"{""ImportId"":""QID16"",""choiceId"":""23""}"
Q3.4_3,bg_available_modes - Selected Choice - Bike,"{""ImportId"":""QID16"",""choiceId"":""3""}"
Q3.4_24,bg_available_modes - Selected Choice - Stand up electric scooter (e-scooter),"{""ImportId"":""QID16"",""choiceId"":""24""}"
Q3.4_25,bg_available_modes - Selected Choice - Electric skateboard (e-skateboard),"{""ImportId"":""QID16"",""choiceId"":""25""}"
Q3.4_2,"bg_available_modes - Selected Choice - Skates, conventional skateboard, or  kick scooter","{""ImportId"":""QID16"",""choiceId"":""2""}"
Q3.4_6,bg_available_modes - Selected Choice - Drive alone in a car (or other vehicle),"{""ImportId"":""QID16"",""choiceId"":""6""}"
Q3.4_7,bg_available_modes - Selected Choice - Carpool and/or vanpool with others going to campus,"{""ImportId"":""QID16"",""choiceId"":""7""}"
Q3.4_8,bg_available_modes - Selected Choice - Get dropped off by a friend or family (the driver continues on elsewhere),"{""ImportId"":""QID16"",""choiceId"":""8""}"
Q3.4_14,"bg_available_modes - Selected Choice - Lyft, Uber, or other ride-hailing service","{""ImportId"":""QID16"",""choiceId"":""14""}"
Q3.4_5,bg_available_modes - Selected Choice - Motorcycle or Vespa-like scooter,"{""ImportId"":""QID16"",""choiceId"":""5""}"
Q3.4_9,bg_available_modes - Selected Choice - Bus and/or shuttle,"{""ImportId"":""QID16"",""choiceId"":""9""}"
Q3.4_10,bg_available_modes - Selected Choice - Train (Amtrak),"{""ImportId"":""QID16"",""choiceId"":""10""}"
Q3.4_22,bg_available_modes - Selected Choice - Other:,"{""ImportId"":""QID16"",""choiceId"":""22""}"
Q3.4_22_TEXT,bg_available_modes - Other: - Text,"{""ImportId"":""QID16_22_TEXT""}"
Q3.5_5,bg_available_ebike - E-bike that I own,"{""ImportId"":""QID375"",""choiceId"":""5""}"
Q3.5_6,bg_available_ebike - E-bike that I borrow or rent long term,"{""ImportId"":""QID375"",""choiceId"":""6""}"
Q3.5_3,bg_available_ebike - SPIN,"{""ImportId"":""QID375"",""choiceId"":""3""}"
Q3.6_1,bg_available_escooter - E-scooter that I own,"{""ImportId"":""QID661"",""choiceId"":""1""}"
Q3.6_4,bg_available_escooter - E-scooter that I borrow or rent long term,"{""ImportId"":""QID661"",""choiceId"":""4""}"
Q3.6_3,bg_available_escooter - SPIN,"{""ImportId"":""QID661"",""choiceId"":""3""}"
