"UnitCode","Year","Month","Statistic","Value","StateID"
"BLUE",2016,1,"TRV",78,"WV"
"BLUE",2016,1,"TNRV",0,"WV"
"BLUE",2016,1,"TV",78,"WV"
"BLUE",2016,1,"TRVH",195,"WV"
"BLUE",2016,1,"TH",195,"WV"
"BLUE",2016,1,"CL",0,"WV"
"BLUE",2016,1,"CCG",0,"WV"
"BLUE",2016,1,"TT",0,"WV"
"BLUE",2016,1,"TRVS",0,"WV"
"BLUE",2016,1,"TTRV",0,"WV"
"BLUE",2016,1,"BC",0,"WV"
"BLUE",2016,1,"MISC",0,"WV"
"BLUE",2016,1,"NROS",0,"WV"
"BLUE",2016,1,"TOS",0,"WV"
"BLUE",2016,1,"TNRVH",0,"WV"
"BLUE",2016,2,"TRV",59,"WV"
"BLUE",2016,2,"TNRV",0,"WV"
"BLUE",2016,2,"TV",59,"WV"
"BLUE",2016,2,"TRVH",148,"WV"
"BLUE",2016,2,"TH",148,"WV"
"BLUE",2016,2,"CL",0,"WV"
"BLUE",2016,2,"CCG",0,"WV"
"BLUE",2016,2,"TT",0,"WV"
"BLUE",2016,2,"TRVS",0,"WV"
"BLUE",2016,2,"TTRV",0,"WV"
"BLUE",2016,2,"BC",0,"WV"
"BLUE",2016,2,"MISC",0,"WV"
"BLUE",2016,2,"NROS",0,"WV"
"BLUE",2016,2,"TOS",0,"WV"
"BLUE",2016,2,"TNRVH",0,"WV"
"BLUE",2016,3,"TRV",251,"WV"
"BLUE",2016,3,"TNRV",0,"WV"
"BLUE",2016,3,"TV",251,"WV"
"BLUE",2016,3,"TRVH",628,"WV"
"BLUE",2016,3,"TH",628,"WV"
"BLUE",2016,3,"CL",0,"WV"
"BLUE",2016,3,"CCG",0,"WV"
"BLUE",2016,3,"TT",0,"WV"
"BLUE",2016,3,"TRVS",0,"WV"
"BLUE",2016,3,"TTRV",0,"WV"
"BLUE",2016,3,"BC",0,"WV"
"BLUE",2016,3,"MISC",0,"WV"
"BLUE",2016,3,"NROS",0,"WV"
"BLUE",2016,3,"TOS",0,"WV"
"BLUE",2016,3,"TNRVH",0,"WV"
"BLUE",2016,4,"TRV",400,"WV"
"BLUE",2016,4,"TNRV",0,"WV"
"BLUE",2016,4,"TV",400,"WV"
"BLUE",2016,4,"TRVH",1000,"WV"
"BLUE",2016,4,"TH",1000,"WV"
"BLUE",2016,4,"CL",0,"WV"
"BLUE",2016,4,"CCG",0,"WV"
"BLUE",2016,4,"TT",0,"WV"
"BLUE",2016,4,"TRVS",0,"WV"
"BLUE",2016,4,"TTRV",0,"WV"
"BLUE",2016,4,"BC",0,"WV"
"BLUE",2016,4,"MISC",0,"WV"
"BLUE",2016,4,"NROS",0,"WV"
"BLUE",2016,4,"TOS",0,"WV"
