"UnitCode","Year","Visits"
"ABLI",1979,1084924
"ABLI",1980,956296
"ABLI",1981,1008980
"ABLI",1982,1274828
"ABLI",1983,1024504
"ABLI",1984,1032092
"ABLI",1985,1059620
"ABLI",1986,1122480
"ABLI",1987,1171300
"ABLI",1988,1153296
"ABLI",1989,1239292
"ABLI",1990,1230676
"ABLI",1991,1267780
"ABLI",1992,1210956
"ABLI",1993,1174840
"ABLI",1994,1118168
"ABLI",1995,1074036
"ABLI",1996,997376
"ABLI",1997,1051556
"ABLI",1998,1003368
"ABLI",1999,1004816
"ABLI",2000,944720
"ABLI",2001,918700
"ABLI",2002,1003088
"ABLI",2003,846600
"ABLI",2004,807312
"ABLI",2005,763236
"ABLI",2006,800216
"ABLI",2007,811800
"ABLI",2008,801616
"ABLI",2009,884444
"ABLI",2010,708488
"ABLI",2011,654272
"ABLI",2012,678060
"ABLI",2013,655712
"ABLI",2014,965056
"ABLI",2015,594420
"ABLI",2016,1009980
"ABLI",2017,1078320
"ABLI",2018,1043856
"ABLI",2019,952904
"ABLI",2020,912564
"ABLI",2021,1004752
"ABLI",2022,1062828
"ABLI",2023,959800
"ABLI",2024,996664
"ACAD",1979,41715691
"ACAD",1980,45138288
"ACAD",1981,49754734
"ACAD",1982,57476422
"ACAD",1983,64035016
"ACAD",1984,58058099
"ACAD",1985,66528730
"ACAD",1986,59468405
"ACAD",1987,66278825
"ACAD",1988,69570540
"ACAD",1989,82679292
"ACAD",1990,31654136
"ACAD",1991,32890886
"ACAD",1992,31652503
"ACAD",1993,35112409
"ACAD",1994,35791046
"ACAD",1995,37537073
"ACAD",1996,35757597
"ACAD",1997,36389873
"ACAD",1998,34375377
"ACAD",1999,34503220
"ACAD",2000,32839807
"ACAD",2001,33429528
"ACAD",2002,33951941
"ACAD",2003,31461587
"ACAD",2004,28579503
"ACAD",2005,25755999
"ACAD",2006,26169551
"ACAD",2007,27638534
"ACAD",2008,25993436
"ACAD",2009,27938805
"ACAD",2010,31321218
"ACAD",2011,29593452
"ACAD",2012,30440690
"ACAD",2013,27840666
"ACAD",2014,31984229
"ACAD",2015,35235504
"ACAD",2016,52812426
"ACAD",2017,55889162
"ACAD",2018,55129003
"ACAD",2019,54078439
"ACAD",2020,34055550
"ACAD",2021,60862472
"ACAD",2022,62068628
"ACAD",2023,60091643
"ACAD",2024,62622385
"ADAM",1979,189522
"ADAM",1980,143408
"ADAM",1981,150694
"ADAM",1982,145040
"ADAM",1983,147568
"ADAM",1984,137896
"ADAM",1985,141944
"ADAM",1986,115926
"ADAM",1987,134410
"ADAM",1988,110120
"ADAM",1989,123628
"ADAM",1990,116068
"ADAM",1991,95012
"ADAM",1992,98718
"ADAM",1993,190864
"ADAM",1994,174732
"ADAM",1995,187630
"ADAM",1996,150940
"ADAM",1997,220730
"ADAM",1998,247868
"ADAM",1999,326072
"ADAM",2000,334262
"ADAM",2001,643916
"ADAM",2002,670258
"ADAM",2003,825504
"ADAM",2004,884034
"ADAM",2005,813170
